well_row,well_col,well_position,heart_number,treatment,cell_type,heart_failure_type
B,2,B02,2,None,Healthy,NA
B,3,B03,50,None,Failing,DCM
B,4,B04,38,None,Healthy,NA
B,5,B05,23,None,Failing,DCM
B,6,B06,B,None,Failing,HLHS
B,7,B07,51,None,Failing,ICM
B,8,B08,C,None,Failing,HLHS
B,9,B09,2,None,Healthy,NA
B,10,B10,44,None,Failing,ICM
B,11,B11,38,None,Healthy,NA
C,2,C02,A,None,Failing,HLHS
C,3,C03,23,None,Failing,DCM
C,4,C04,36,None,Failing,DCM
C,5,C05,51,None,Failing,ICM
C,6,C06,2,None,Healthy,NA
C,7,C07,30,None,Failing,ICM
C,8,C08,7,None,Healthy,NA
C,9,C09,B,None,Failing,HLHS
C,10,C10,23,None,Failing,DCM
C,11,C11,A,None,Failing,HLHS
D,2,D02,36,None,Failing,DCM
D,3,D03,51,None,Failing,ICM
D,4,D04,30,None,Failing,ICM
D,5,D05,C,None,Failing,HLHS
D,6,D06,44,None,Failing,ICM
D,7,D07,38,None,Healthy,NA
D,8,D08,23,None,Failing,DCM
D,9,D09,30,None,Failing,ICM
D,10,D10,2,None,Healthy,NA
D,11,D11,B,None,Failing,HLHS
E,2,E02,30,None,Failing,ICM
E,3,E03,50,None,Failing,DCM
E,4,E04,7,None,Healthy,NA
E,5,E05,B,None,Failing,HLHS
E,6,E06,44,None,Failing,ICM
E,7,E07,A,None,Failing,HLHS
E,8,E08,51,None,Failing,ICM
E,9,E09,7,None,Healthy,NA
E,10,E10,36,None,Failing,DCM
E,11,E11,C,None,Failing,HLHS
F,2,F02,44,None,Failing,ICM
F,3,F03,50,None,Failing,DCM
F,4,F04,A,None,Failing,HLHS
F,5,F05,7,None,Healthy,NA
F,6,F06,38,None,Healthy,NA
F,7,F07,44,None,Failing,ICM
F,8,F08,50,None,Failing,DCM
F,9,F09,2,None,Healthy,NA
F,10,F10,C,None,Failing,HLHS
F,11,F11,30,None,Failing,ICM
G,2,G02,B,None,Failing,HLHS
G,3,G03,36,None,Failing,DCM
G,4,G04,51,None,Failing,ICM
G,5,G05,A,None,Failing,HLHS
G,6,G06,23,None,Failing,DCM
G,7,G07,7,None,Healthy,NA
G,8,G08,C,None,Failing,HLHS
G,9,G09,50,None,Failing,DCM
G,10,G10,36,None,Failing,DCM
G,11,G11,38,None,Healthy,NA
