Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Correlation_Correlation_Actin_ER,0.5106342820387296,Cytoplasm,Correlation,Correlation,Actin,1
Cytoplasm_Granularity_1_Mitochondria,0.45777992536638223,Cytoplasm,Granularity,1,Mitochondria,2
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.4558089774364024,Cytoplasm,Intensity,LowerQuartileIntensity,PM,3
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_00_256,0.4117384115871766,Cytoplasm,Texture,InverseDifferenceMoment,Actin,4
Nuclei_Texture_AngularSecondMoment_PM_3_01_256,0.3960035770549922,Nuclei,Texture,AngularSecondMoment,PM,5
Cytoplasm_Texture_Contrast_Actin_3_02_256,0.3679398741564531,Cytoplasm,Texture,Contrast,Actin,6
Cytoplasm_Intensity_MaxIntensity_ER,0.36036180181457517,Cytoplasm,Intensity,MaxIntensity,ER,7
Cells_Correlation_Correlation_Actin_Mitochondria,0.32570713015631214,Cells,Correlation,Correlation,Actin,8
Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.3231499433126986,Nuclei,RadialDistribution,MeanFrac,ER,9
Cells_Texture_AngularSecondMoment_Actin_3_01_256,0.3213230020894521,Cells,Texture,AngularSecondMoment,Actin,10
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_02_256,0.3193380602635187,Cytoplasm,Texture,InverseDifferenceMoment,Actin,11
Nuclei_Intensity_MeanIntensityEdge_Hoechst,0.285209068307941,Nuclei,Intensity,MeanIntensityEdge,Hoechst,12
Cells_Intensity_MinIntensity_Actin,0.26643279698942113,Cells,Intensity,MinIntensity,Actin,13
Nuclei_Intensity_MinIntensity_Actin,0.24820006707019826,Nuclei,Intensity,MinIntensity,Actin,14
Cells_Granularity_1_Hoechst,0.24469189946112732,Cells,Granularity,1,Hoechst,15
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.23351072604894466,Cytoplasm,Intensity,LowerQuartileIntensity,Hoechst,16
Cells_AreaShape_MinFeretDiameter,0.23117698031230938,Cells,AreaShape,MinFeretDiameter,,17
Nuclei_Correlation_Correlation_Mitochondria_PM,0.22471597789251208,Nuclei,Correlation,Correlation,Mitochondria,18
Cells_AreaShape_ConvexArea,0.19575559682216787,Cells,AreaShape,ConvexArea,,19
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_01_256,0.1953927719677436,Cytoplasm,Texture,InfoMeas1,Mitochondria,20
Nuclei_Correlation_RWC_Mitochondria_PM,0.19327809372908417,Nuclei,Correlation,RWC,Mitochondria,21
Nuclei_RadialDistribution_ZernikeMagnitude_ER_9_1,0.18979000028748313,Nuclei,RadialDistribution,ZernikeMagnitude,ER,22
Cells_Correlation_RWC_Hoechst_ER,0.1852771337090196,Cells,Correlation,RWC,Hoechst,23
Nuclei_Intensity_MinIntensity_PM,0.1840960621761173,Nuclei,Intensity,MinIntensity,PM,24
Nuclei_Correlation_RWC_ER_Mitochondria,0.18240753541539403,Nuclei,Correlation,RWC,ER,25
Nuclei_Correlation_Correlation_ER_PM,0.17652203544234626,Nuclei,Correlation,Correlation,ER,26
Nuclei_RadialDistribution_RadialCV_Mitochondria_2of4,0.17643748198906165,Nuclei,RadialDistribution,RadialCV,Mitochondria,27
Cells_Neighbors_PercentTouching_Adjacent,0.17231237371155775,Cells,Neighbors,PercentTouching,Adjacent,28
Nuclei_Intensity_MassDisplacement_PM,0.1683073954061806,Nuclei,Intensity,MassDisplacement,PM,29
Cytoplasm_Texture_DifferenceVariance_Actin_3_01_256,0.15942880597316333,Cytoplasm,Texture,DifferenceVariance,Actin,30
Nuclei_Correlation_Overlap_Hoechst_PM,0.15800722982076168,Nuclei,Correlation,Overlap,Hoechst,31
Cytoplasm_Intensity_MaxIntensityEdge_ER,0.15616743752530302,Cytoplasm,Intensity,MaxIntensityEdge,ER,32
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_3,0.15567597620868176,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,33
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.15541211774150143,Cytoplasm,RadialDistribution,RadialCV,Actin,34
Cells_Correlation_Correlation_Actin_Hoechst,0.15333939193248083,Cells,Correlation,Correlation,Actin,35
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,0.15298162692341513,Cytoplasm,Texture,InverseDifferenceMoment,PM,36
Cells_Intensity_MeanIntensityEdge_Mitochondria,0.15263930395717917,Cells,Intensity,MeanIntensityEdge,Mitochondria,37
Nuclei_Texture_InfoMeas1_Hoechst_3_02_256,0.1511817522622765,Nuclei,Texture,InfoMeas1,Hoechst,38
Cytoplasm_Intensity_MeanIntensityEdge_Hoechst,0.14858137606175817,Cytoplasm,Intensity,MeanIntensityEdge,Hoechst,39
