Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Correlation_Correlation_Actin_ER,0.6607060550119804,Cytoplasm,Correlation,Correlation,Actin,1
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_00_256,0.5033423991742987,Cytoplasm,Texture,InverseDifferenceMoment,Actin,2
Cells_Texture_AngularSecondMoment_Actin_3_01_256,0.49086734553121925,Cells,Texture,AngularSecondMoment,Actin,3
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.464376614063609,Cytoplasm,Intensity,LowerQuartileIntensity,Hoechst,4
Cytoplasm_Granularity_1_Mitochondria,0.43406408113640793,Cytoplasm,Granularity,1,Mitochondria,5
Nuclei_RadialDistribution_RadialCV_Mitochondria_2of4,0.31625197171993713,Nuclei,RadialDistribution,RadialCV,Mitochondria,6
Nuclei_Intensity_MinIntensity_Actin,0.3134722480460067,Nuclei,Intensity,MinIntensity,Actin,7
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_02_256,0.3112688098429281,Cytoplasm,Texture,InverseDifferenceMoment,Actin,8
Cells_Granularity_1_Hoechst,0.3057363759718389,Cells,Granularity,1,Hoechst,9
Cytoplasm_Texture_Contrast_Actin_3_02_256,0.2986858715046308,Cytoplasm,Texture,Contrast,Actin,10
Nuclei_Intensity_MinIntensity_PM,0.2881817671726321,Nuclei,Intensity,MinIntensity,PM,11
Cells_Intensity_MinIntensity_Actin,0.27832045057522486,Cells,Intensity,MinIntensity,Actin,12
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_01_256,0.27346953708990407,Cytoplasm,Texture,InfoMeas1,Mitochondria,13
Nuclei_Intensity_MeanIntensityEdge_Hoechst,0.2615937204486493,Nuclei,Intensity,MeanIntensityEdge,Hoechst,14
Nuclei_Texture_AngularSecondMoment_PM_3_01_256,0.2531378629825002,Nuclei,Texture,AngularSecondMoment,PM,15
Cells_Neighbors_PercentTouching_Adjacent,0.23802856907953954,Cells,Neighbors,PercentTouching,Adjacent,16
Nuclei_Granularity_1_PM,0.23622412204329143,Nuclei,Granularity,1,PM,17
Cytoplasm_Texture_DifferenceVariance_Actin_3_01_256,0.22912898552192762,Cytoplasm,Texture,DifferenceVariance,Actin,18
Cells_Correlation_RWC_Hoechst_ER,0.2250014932870002,Cells,Correlation,RWC,Hoechst,19
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_2,0.21762025823947656,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,20
Nuclei_RadialDistribution_ZernikeMagnitude_ER_4_0,0.21331117362444374,Nuclei,RadialDistribution,ZernikeMagnitude,ER,21
Cytoplasm_Texture_Contrast_Actin_3_00_256,0.20635280109930826,Cytoplasm,Texture,Contrast,Actin,22
Nuclei_Correlation_RWC_Mitochondria_ER,0.2048706178394562,Nuclei,Correlation,RWC,Mitochondria,23
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,0.20390827601813252,Cytoplasm,Texture,InverseDifferenceMoment,PM,24
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.20184569777338604,Cytoplasm,Intensity,LowerQuartileIntensity,PM,25
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_01_256,0.19386273941618723,Cytoplasm,Texture,InverseDifferenceMoment,ER,26
Cytoplasm_Granularity_2_Mitochondria,0.19203210108092028,Cytoplasm,Granularity,2,Mitochondria,27
Nuclei_Intensity_MassDisplacement_Hoechst,0.19200627356150998,Nuclei,Intensity,MassDisplacement,Hoechst,28
Cytoplasm_Intensity_MeanIntensity_Hoechst,0.19073993277055154,Cytoplasm,Intensity,MeanIntensity,Hoechst,29
Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.19055573911804924,Nuclei,RadialDistribution,MeanFrac,ER,30
Nuclei_AreaShape_Zernike_2_2,0.18751979562848847,Nuclei,AreaShape,Zernike,2,31
Nuclei_AreaShape_Zernike_8_8,0.18488618912199506,Nuclei,AreaShape,Zernike,8,32
Cells_Correlation_Correlation_Actin_Hoechst,0.18037610030262127,Cells,Correlation,Correlation,Actin,33
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_7,0.17636012463506298,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,34
Nuclei_Correlation_RWC_Mitochondria_PM,0.16873321422223012,Nuclei,Correlation,RWC,Mitochondria,35
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_8_6,0.1663589316828675,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,36
Nuclei_Texture_InfoMeas1_ER_3_02_256,0.16428974434148935,Nuclei,Texture,InfoMeas1,ER,37
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_01_256,0.16337272884096712,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,38
Nuclei_Texture_InfoMeas1_Mitochondria_3_01_256,0.16257296747255073,Nuclei,Texture,InfoMeas1,Mitochondria,39
Cytoplasm_Intensity_MaxIntensity_ER,0.1610375229194189,Cytoplasm,Intensity,MaxIntensity,ER,40
Nuclei_RadialDistribution_MeanFrac_PM_2of4,0.1569325896686494,Nuclei,RadialDistribution,MeanFrac,PM,41
Nuclei_Texture_Correlation_PM_3_01_256,0.15639240806510485,Nuclei,Texture,Correlation,PM,42
