Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_02_256,0.609292691796569,Cytoplasm,Texture,InverseDifferenceMoment,Actin,1
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_00_256,0.4785138467505284,Cytoplasm,Texture,InverseDifferenceMoment,Actin,2
Cytoplasm_Correlation_Correlation_Actin_ER,0.46614947916604127,Cytoplasm,Correlation,Correlation,Actin,3
Cells_Texture_AngularSecondMoment_ER_3_01_256,0.3766458646462456,Cells,Texture,AngularSecondMoment,ER,4
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.3735114212603137,Cytoplasm,Intensity,LowerQuartileIntensity,Hoechst,5
Cytoplasm_Texture_Contrast_Actin_3_01_256,0.3597780066216221,Cytoplasm,Texture,Contrast,Actin,6
Cytoplasm_Texture_Contrast_Actin_3_02_256,0.34834113142382817,Cytoplasm,Texture,Contrast,Actin,7
Cells_Granularity_1_Hoechst,0.33738548162762183,Cells,Granularity,1,Hoechst,8
Cells_Intensity_MinIntensity_Actin,0.3322494095302882,Cells,Intensity,MinIntensity,Actin,9
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,0.32398430500177827,Cytoplasm,Texture,InverseDifferenceMoment,PM,10
Nuclei_Intensity_MinIntensity_Actin,0.3013377581649037,Nuclei,Intensity,MinIntensity,Actin,11
Cells_Texture_AngularSecondMoment_PM_3_01_256,0.27926947759823284,Cells,Texture,AngularSecondMoment,PM,12
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.2726475833432851,Cytoplasm,Intensity,LowerQuartileIntensity,ER,13
Cytoplasm_Granularity_1_Mitochondria,0.26559485498779434,Cytoplasm,Granularity,1,Mitochondria,14
Cells_Intensity_IntegratedIntensity_ER,0.26415903887066805,Cells,Intensity,IntegratedIntensity,ER,15
Nuclei_Correlation_Correlation_Mitochondria_PM,0.2585277767074569,Nuclei,Correlation,Correlation,Mitochondria,16
Nuclei_Texture_AngularSecondMoment_PM_3_01_256,0.2579179543485158,Nuclei,Texture,AngularSecondMoment,PM,17
Cytoplasm_Intensity_UpperQuartileIntensity_ER,0.22236285165597774,Cytoplasm,Intensity,UpperQuartileIntensity,ER,18
Cytoplasm_Correlation_Correlation_ER_PM,0.2134669719775671,Cytoplasm,Correlation,Correlation,ER,19
Nuclei_Correlation_Correlation_ER_PM,0.20315083571580972,Nuclei,Correlation,Correlation,ER,20
Cells_Texture_AngularSecondMoment_Hoechst_3_00_256,0.19639632104953952,Cells,Texture,AngularSecondMoment,Hoechst,21
Nuclei_Texture_InfoMeas1_ER_3_02_256,0.18615032315034455,Nuclei,Texture,InfoMeas1,ER,22
Cytoplasm_Texture_Entropy_Mitochondria_3_00_256,0.18399222750360655,Cytoplasm,Texture,Entropy,Mitochondria,23
Nuclei_RadialDistribution_RadialCV_Mitochondria_2of4,0.18208423954432118,Nuclei,RadialDistribution,RadialCV,Mitochondria,24
Nuclei_Correlation_K_Mitochondria_ER,0.17845943369915215,Nuclei,Correlation,K,Mitochondria,25
Nuclei_Correlation_K_PM_ER,0.17529801306073414,Nuclei,Correlation,K,PM,26
Nuclei_Correlation_Correlation_ER_Hoechst,0.17494812868592588,Nuclei,Correlation,Correlation,ER,27
Nuclei_Texture_DifferenceEntropy_ER_3_02_256,0.17371445549609751,Nuclei,Texture,DifferenceEntropy,ER,28
Nuclei_Texture_InverseDifferenceMoment_Actin_3_00_256,0.17295942024608796,Nuclei,Texture,InverseDifferenceMoment,Actin,29
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_2,0.16968207030402405,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,30
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_01_256,0.16862994396337205,Cytoplasm,Texture,InverseDifferenceMoment,ER,31
Nuclei_Texture_DifferenceVariance_PM_3_00_256,0.16467947612568634,Nuclei,Texture,DifferenceVariance,PM,32
Nuclei_Correlation_RWC_PM_ER,0.16005109203713208,Nuclei,Correlation,RWC,PM,33
Cells_RadialDistribution_ZernikeMagnitude_Actin_5_1,0.15955211172269623,Cells,RadialDistribution,ZernikeMagnitude,Actin,34
Cytoplasm_Texture_Correlation_ER_3_00_256,0.15752735140733354,Cytoplasm,Texture,Correlation,ER,35
Cells_Intensity_MaxIntensityEdge_Mitochondria,0.14959311812311804,Cells,Intensity,MaxIntensityEdge,Mitochondria,36
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_6_4,0.1464538293962944,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,37
Nuclei_AreaShape_Zernike_2_2,0.14499425559152362,Nuclei,AreaShape,Zernike,2,38
Nuclei_Correlation_RWC_Mitochondria_PM,0.14469919923232888,Nuclei,Correlation,RWC,Mitochondria,39
Cytoplasm_Texture_Correlation_ER_3_03_256,0.12975614994701926,Cytoplasm,Texture,Correlation,ER,40
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_4_4,0.12333048031390519,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,41
Cells_Texture_AngularSecondMoment_Actin_3_01_256,0.11577889258943243,Cells,Texture,AngularSecondMoment,Actin,42
Nuclei_RadialDistribution_RadialCV_Mitochondria_3of4,0.11501675311927481,Nuclei,RadialDistribution,RadialCV,Mitochondria,43
Nuclei_Texture_Contrast_ER_3_00_256,0.11475746459826544,Nuclei,Texture,Contrast,ER,44
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_4_0,0.11474188314849189,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,45
Nuclei_Texture_AngularSecondMoment_Actin_3_01_256,0.11344102275546747,Nuclei,Texture,AngularSecondMoment,Actin,46
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_00_256,0.11272128852120772,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,47
Cells_Neighbors_SecondClosestDistance_Adjacent,0.11109172018106404,Cells,Neighbors,SecondClosestDistance,Adjacent,48
Cytoplasm_AreaShape_Zernike_8_6,0.10627587907236169,Cytoplasm,AreaShape,Zernike,8,49
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_6,0.10504701788790405,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,50
Nuclei_Granularity_1_Mitochondria,0.10176675752838073,Nuclei,Granularity,1,Mitochondria,51
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_9_3,0.09935249134812181,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,52
Cells_AreaShape_ConvexArea,0.0992734574858729,Cells,AreaShape,ConvexArea,,53
Nuclei_RadialDistribution_RadialCV_PM_3of4,0.09816967741731966,Nuclei,RadialDistribution,RadialCV,PM,54
Nuclei_Granularity_1_PM,0.09494316038151415,Nuclei,Granularity,1,PM,55
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,0.09314470178391948,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,56
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_9,0.09086956238251662,Cells,RadialDistribution,ZernikeMagnitude,Actin,57
Cytoplasm_Intensity_MeanIntensityEdge_Hoechst,0.08982980941877979,Cytoplasm,Intensity,MeanIntensityEdge,Hoechst,58
Nuclei_AreaShape_Zernike_9_7,0.0888555840794476,Nuclei,AreaShape,Zernike,9,59
Cells_Correlation_Correlation_Actin_Mitochondria,0.08843264094969376,Cells,Correlation,Correlation,Actin,60
Cytoplasm_Intensity_MeanIntensity_Hoechst,0.08630850538249493,Cytoplasm,Intensity,MeanIntensity,Hoechst,61
Nuclei_AreaShape_Compactness,0.08591613310061785,Nuclei,AreaShape,Compactness,,62
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_4,0.08578570194163766,Cells,RadialDistribution,ZernikeMagnitude,Actin,63
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_7_3,0.08237837066099184,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,64
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_9_9,0.08209559403752831,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,65
Nuclei_Intensity_MinIntensity_PM,0.08165778998207386,Nuclei,Intensity,MinIntensity,PM,66
Cells_AreaShape_Zernike_9_3,0.08125232573933622,Cells,AreaShape,Zernike,9,67
Cells_AreaShape_MinFeretDiameter,0.0768562607925857,Cells,AreaShape,MinFeretDiameter,,68
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_1_1,0.07403448528450256,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,69
Cells_Neighbors_PercentTouching_Adjacent,0.07357762523495642,Cells,Neighbors,PercentTouching,Adjacent,70
Nuclei_Neighbors_SecondClosestDistance_Adjacent,0.07306157512738698,Nuclei,Neighbors,SecondClosestDistance,Adjacent,71
Cytoplasm_AreaShape_Zernike_7_1,0.0720091535121721,Cytoplasm,AreaShape,Zernike,7,72
Nuclei_RadialDistribution_ZernikeMagnitude_PM_5_3,0.07103070348284805,Nuclei,RadialDistribution,ZernikeMagnitude,PM,73
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_03_256,0.0692802701610825,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,74
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_5,0.06924147648022241,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,75
Cytoplasm_Intensity_MaxIntensityEdge_ER,0.06762138252056517,Cytoplasm,Intensity,MaxIntensityEdge,ER,76
Cytoplasm_Intensity_LowerQuartileIntensity_PM,0.06708882568873831,Cytoplasm,Intensity,LowerQuartileIntensity,PM,77
Nuclei_AreaShape_Zernike_4_4,0.06702734735958338,Nuclei,AreaShape,Zernike,4,78
Cells_AreaShape_Zernike_4_0,0.06649426682557472,Cells,AreaShape,Zernike,4,79
Nuclei_Correlation_Correlation_Actin_Hoechst,0.06642386259139624,Nuclei,Correlation,Correlation,Actin,80
Cells_Intensity_MeanIntensityEdge_ER,0.06618032029695467,Cells,Intensity,MeanIntensityEdge,ER,81
Nuclei_Texture_InfoMeas1_ER_3_00_256,0.06606554491635919,Nuclei,Texture,InfoMeas1,ER,82
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_2,0.06521398636483629,Nuclei,RadialDistribution,ZernikeMagnitude,PM,83
Nuclei_Texture_AngularSecondMoment_ER_3_01_256,0.06485702886135564,Nuclei,Texture,AngularSecondMoment,ER,84
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.06360454483341942,Cytoplasm,RadialDistribution,RadialCV,Actin,85
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_7,0.06233016059701891,Nuclei,RadialDistribution,ZernikeMagnitude,PM,86
Nuclei_RadialDistribution_ZernikeMagnitude_ER_7_5,0.0616588376253164,Nuclei,RadialDistribution,ZernikeMagnitude,ER,87
Cytoplasm_AreaShape_Zernike_8_4,0.06131232565001498,Cytoplasm,AreaShape,Zernike,8,88
Cells_RadialDistribution_ZernikeMagnitude_PM_9_5,0.05927364398101593,Cells,RadialDistribution,ZernikeMagnitude,PM,89
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,0.05888595034027681,Cytoplasm,Intensity,IntegratedIntensity,Mitochondria,90
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_6_4,0.05788033312217312,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,91
Nuclei_RadialDistribution_RadialCV_Hoechst_3of4,0.05754605507971438,Nuclei,RadialDistribution,RadialCV,Hoechst,92
Cytoplasm_AreaShape_Zernike_9_7,0.057001838334006745,Cytoplasm,AreaShape,Zernike,9,93
Cells_RadialDistribution_RadialCV_Hoechst_3of4,0.05608094664396471,Cells,RadialDistribution,RadialCV,Hoechst,94
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,0.052561644254148436,Cytoplasm,Intensity,StdIntensityEdge,Hoechst,95
Nuclei_Intensity_MADIntensity_Mitochondria,0.052304417467156285,Nuclei,Intensity,MADIntensity,Mitochondria,96
Cells_AreaShape_FormFactor,0.05220997083069961,Cells,AreaShape,FormFactor,,97
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,0.051314431042227604,Cytoplasm,RadialDistribution,RadialCV,Actin,98
Cells_Texture_DifferenceVariance_Hoechst_3_03_256,0.05061549176434442,Cells,Texture,DifferenceVariance,Hoechst,99
Nuclei_RadialDistribution_ZernikeMagnitude_ER_5_5,0.04944501332151176,Nuclei,RadialDistribution,ZernikeMagnitude,ER,100
Cytoplasm_Intensity_MaxIntensityEdge_Actin,0.04857756762023962,Cytoplasm,Intensity,MaxIntensityEdge,Actin,101
Nuclei_Correlation_Overlap_Actin_Hoechst,0.04825842947075836,Nuclei,Correlation,Overlap,Actin,102
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_1of4,0.0461157834172061,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,103
Cells_Intensity_MaxIntensityEdge_ER,0.04455040121769112,Cells,Intensity,MaxIntensityEdge,ER,104
Cytoplasm_Intensity_MaxIntensityEdge_Mitochondria,0.044381717788470706,Cytoplasm,Intensity,MaxIntensityEdge,Mitochondria,105
Nuclei_Intensity_MeanIntensityEdge_Hoechst,0.04249834137256488,Nuclei,Intensity,MeanIntensityEdge,Hoechst,106
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.040351985166731656,Cytoplasm,Intensity,IntegratedIntensity,Hoechst,107
Nuclei_RadialDistribution_ZernikeMagnitude_ER_8_6,0.039121653241307314,Nuclei,RadialDistribution,ZernikeMagnitude,ER,108
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_4,0.03865535745512271,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,109
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,0.03862645409764675,Cytoplasm,Intensity,MaxIntensityEdge,Hoechst,110
Nuclei_Correlation_Correlation_ER_Mitochondria,0.03822246262714226,Nuclei,Correlation,Correlation,ER,111
Nuclei_RadialDistribution_ZernikeMagnitude_ER_9_1,0.037523671992911574,Nuclei,RadialDistribution,ZernikeMagnitude,ER,112
Nuclei_RadialDistribution_RadialCV_Actin_1of4,0.037345089895320274,Nuclei,RadialDistribution,RadialCV,Actin,113
Nuclei_AreaShape_Zernike_5_1,0.03669323140926778,Nuclei,AreaShape,Zernike,5,114
Cells_Intensity_MaxIntensityEdge_PM,0.036642342191364335,Cells,Intensity,MaxIntensityEdge,PM,115
Cells_RadialDistribution_ZernikeMagnitude_ER_8_6,0.03583675877544318,Cells,RadialDistribution,ZernikeMagnitude,ER,116
Cytoplasm_Granularity_2_Mitochondria,0.03399716222517381,Cytoplasm,Granularity,2,Mitochondria,117
Nuclei_Correlation_RWC_ER_PM,0.03370681990157349,Nuclei,Correlation,RWC,ER,118
Nuclei_AreaShape_Zernike_7_3,0.033410321271906,Nuclei,AreaShape,Zernike,7,119
Nuclei_RadialDistribution_MeanFrac_ER_3of4,0.03307660149763409,Nuclei,RadialDistribution,MeanFrac,ER,120
Nuclei_Correlation_RWC_ER_Mitochondria,0.032009099075204085,Nuclei,Correlation,RWC,ER,121
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.03159902055955835,Cytoplasm,Intensity,LowerQuartileIntensity,Mitochondria,122
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_8,0.029712353315780395,Cells,RadialDistribution,ZernikeMagnitude,Actin,123
Nuclei_RadialDistribution_RadialCV_ER_1of4,0.029389465322180536,Nuclei,RadialDistribution,RadialCV,ER,124
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_02_256,0.028326205307769733,Cytoplasm,Texture,InverseDifferenceMoment,ER,125
Nuclei_RadialDistribution_ZernikeMagnitude_PM_8_6,0.02771132396087691,Nuclei,RadialDistribution,ZernikeMagnitude,PM,126
Cytoplasm_Correlation_Manders_ER_Hoechst,0.025548556808844936,Cytoplasm,Correlation,Manders,ER,127
Nuclei_RadialDistribution_RadialCV_ER_4of4,0.025391408073147097,Nuclei,RadialDistribution,RadialCV,ER,128
Nuclei_Correlation_K_Mitochondria_Hoechst,0.02521843554442702,Nuclei,Correlation,K,Mitochondria,129
Cytoplasm_Intensity_MaxIntensity_Hoechst,0.02404993922552502,Cytoplasm,Intensity,MaxIntensity,Hoechst,130
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_1of4,0.02232902648506482,Cytoplasm,RadialDistribution,MeanFrac,Mitochondria,131
Nuclei_Correlation_RWC_Mitochondria_ER,0.021998848895641274,Nuclei,Correlation,RWC,Mitochondria,132
Cells_RadialDistribution_ZernikeMagnitude_PM_8_4,0.020880340602119418,Cells,RadialDistribution,ZernikeMagnitude,PM,133
Cytoplasm_AreaShape_Zernike_7_5,0.02056200874758254,Cytoplasm,AreaShape,Zernike,7,134
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_00_256,0.01971398990315876,Cytoplasm,Texture,InfoMeas1,Mitochondria,135
Cells_RadialDistribution_ZernikeMagnitude_ER_9_7,0.019660837520771912,Cells,RadialDistribution,ZernikeMagnitude,ER,136
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_3_3,0.019072828719121426,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,137
Cytoplasm_Intensity_MaxIntensity_ER,0.018271499892127396,Cytoplasm,Intensity,MaxIntensity,ER,138
Nuclei_Texture_Contrast_ER_3_01_256,0.01813555635533539,Nuclei,Texture,Contrast,ER,139
Nuclei_Texture_InfoMeas1_Hoechst_3_03_256,0.017040555292340394,Nuclei,Texture,InfoMeas1,Hoechst,140
Cells_Correlation_RWC_Hoechst_ER,0.01670616948049597,Cells,Correlation,RWC,Hoechst,141
Nuclei_AreaShape_Zernike_2_0,0.016030832845083054,Nuclei,AreaShape,Zernike,2,142
Nuclei_Correlation_K_Actin_ER,0.014773351866349375,Nuclei,Correlation,K,Actin,143
Nuclei_Intensity_MinIntensity_ER,0.014529057237311484,Nuclei,Intensity,MinIntensity,ER,144
Cells_RadialDistribution_FracAtD_Mitochondria_1of4,0.014236022665639947,Cells,RadialDistribution,FracAtD,Mitochondria,145
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_5,0.013815919596118604,Cells,RadialDistribution,ZernikeMagnitude,Actin,146
Nuclei_Texture_DifferenceEntropy_ER_3_00_256,0.013197512753553239,Nuclei,Texture,DifferenceEntropy,ER,147
Nuclei_Texture_InfoMeas1_Hoechst_3_02_256,0.012186325867484986,Nuclei,Texture,InfoMeas1,Hoechst,148
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_5,0.012027923874059647,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,149
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.01170880879674513,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,150
Nuclei_RadialDistribution_RadialCV_Mitochondria_1of4,0.010551329218973064,Nuclei,RadialDistribution,RadialCV,Mitochondria,151
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_5,0.010254225045281671,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,152
Nuclei_Texture_InfoMeas1_Hoechst_3_00_256,0.01020932254672803,Nuclei,Texture,InfoMeas1,Hoechst,153
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_0,0.009743442385284575,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,154
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.009598951408287301,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,155
Nuclei_AreaShape_Orientation,0.00852034686018923,Nuclei,AreaShape,Orientation,,156
Cytoplasm_AreaShape_Zernike_6_2,0.008031063988091504,Cytoplasm,AreaShape,Zernike,6,157
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_4,0.007911515904873311,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,158
