Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Intensity_IntegratedIntensity_ER,0.246533009341716,Cytoplasm,Intensity,IntegratedIntensity,ER,1
Cells_Granularity_1_Mitochondria,0.20670679326648025,Cells,Granularity,1,Mitochondria,2
Cytoplasm_Correlation_Correlation_Actin_ER,0.2028237460778758,Cytoplasm,Correlation,Correlation,Actin,3
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_4,0.18030256633883923,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,4
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.1650326610306127,Cytoplasm,Intensity,LowerQuartileIntensity,Mitochondria,5
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_2_0,0.14693880410718788,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,6
Cells_Neighbors_SecondClosestDistance_Adjacent,0.14678383539451573,Cells,Neighbors,SecondClosestDistance,Adjacent,7
Cytoplasm_Texture_SumVariance_Actin_3_03_256,0.1449017219265744,Cytoplasm,Texture,SumVariance,Actin,8
Nuclei_Correlation_Correlation_ER_Mitochondria,0.14474842759432488,Nuclei,Correlation,Correlation,ER,9
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_3_1,0.1378011477008794,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,10
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.1356615934353955,Cytoplasm,Intensity,LowerQuartileIntensity,Hoechst,11
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_00_256,0.12282891341969901,Cytoplasm,Texture,InverseDifferenceMoment,Actin,12
Cells_Intensity_MinIntensity_Actin,0.12200041575493577,Cells,Intensity,MinIntensity,Actin,13
Nuclei_RadialDistribution_ZernikeMagnitude_PM_2_2,0.11359465289472671,Nuclei,RadialDistribution,ZernikeMagnitude,PM,14
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_02_256,0.1057377921521799,Cytoplasm,Texture,InverseDifferenceMoment,Actin,15
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.10331204331138981,Cytoplasm,Intensity,LowerQuartileIntensity,ER,16
Cells_AreaShape_Zernike_4_0,0.10177303429246053,Cells,AreaShape,Zernike,4,17
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,0.10171003559363508,Cytoplasm,RadialDistribution,RadialCV,Actin,18
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.10032239459647699,Cytoplasm,Intensity,IntegratedIntensity,Hoechst,19
Cytoplasm_Intensity_MaxIntensity_ER,0.09788465368031836,Cytoplasm,Intensity,MaxIntensity,ER,20
Cells_RadialDistribution_ZernikeMagnitude_Actin_4_0,0.09651940901596197,Cells,RadialDistribution,ZernikeMagnitude,Actin,21
Nuclei_Intensity_MinIntensityEdge_Hoechst,0.09612050671092526,Nuclei,Intensity,MinIntensityEdge,Hoechst,22
Nuclei_Intensity_MinIntensityEdge_ER,0.09522697340469945,Nuclei,Intensity,MinIntensityEdge,ER,23
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_03_256,0.09427816289633106,Cytoplasm,Texture,InverseDifferenceMoment,ER,24
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_01_256,0.09039116048476367,Cytoplasm,Texture,InfoMeas1,Mitochondria,25
Nuclei_AreaShape_Zernike_9_3,0.08925052250521297,Nuclei,AreaShape,Zernike,9,26
Cytoplasm_Texture_Correlation_ER_3_02_256,0.08716703384141508,Cytoplasm,Texture,Correlation,ER,27
Nuclei_Intensity_MeanIntensityEdge_Hoechst,0.08598579327118458,Nuclei,Intensity,MeanIntensityEdge,Hoechst,28
Nuclei_Granularity_2_PM,0.0857339336313059,Nuclei,Granularity,2,PM,29
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria,0.08534288472834266,Cytoplasm,Intensity,IntegratedIntensity,Mitochondria,30
Nuclei_RadialDistribution_ZernikeMagnitude_PM_8_2,0.0831839421897484,Nuclei,RadialDistribution,ZernikeMagnitude,PM,31
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_2_2,0.0807429200630353,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,32
Cells_Intensity_StdIntensityEdge_Mitochondria,0.07917357179942719,Cells,Intensity,StdIntensityEdge,Mitochondria,33
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_4_0,0.07770622836971618,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,34
Nuclei_Texture_Contrast_ER_3_03_256,0.07747979336799056,Nuclei,Texture,Contrast,ER,35
Cytoplasm_Texture_Correlation_ER_3_01_256,0.07733206965124165,Cytoplasm,Texture,Correlation,ER,36
Cells_Texture_AngularSecondMoment_ER_3_03_256,0.07096431220453621,Cells,Texture,AngularSecondMoment,ER,37
Cells_Intensity_MeanIntensityEdge_Mitochondria,0.0698808171350694,Cells,Intensity,MeanIntensityEdge,Mitochondria,38
Nuclei_RadialDistribution_FracAtD_PM_4of4,0.06958930152819551,Nuclei,RadialDistribution,FracAtD,PM,39
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_7,0.0690584454139395,Cells,RadialDistribution,ZernikeMagnitude,Actin,40
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_8_0,0.06889459245460804,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,41
Nuclei_Texture_DifferenceEntropy_ER_3_00_256,0.06586904419773591,Nuclei,Texture,DifferenceEntropy,ER,42
Nuclei_RadialDistribution_RadialCV_Mitochondria_1of4,0.06376361186682439,Nuclei,RadialDistribution,RadialCV,Mitochondria,43
Cells_Neighbors_PercentTouching_Adjacent,0.06360713177146399,Cells,Neighbors,PercentTouching,Adjacent,44
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_02_256,0.06085589476553851,Cytoplasm,Texture,InfoMeas1,Mitochondria,45
Nuclei_RadialDistribution_MeanFrac_Actin_2of4,0.05618387514886844,Nuclei,RadialDistribution,MeanFrac,Actin,46
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.054390530846777085,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,47
Cells_AreaShape_ConvexArea,0.052879859464573645,Cells,AreaShape,ConvexArea,,48
Nuclei_Texture_Correlation_Hoechst_3_01_256,0.05210554656572249,Nuclei,Texture,Correlation,Hoechst,49
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_4,0.050275253584211435,Nuclei,RadialDistribution,ZernikeMagnitude,PM,50
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_1,0.05000838240269575,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,51
Nuclei_RadialDistribution_ZernikeMagnitude_ER_2_2,0.049877736608804096,Nuclei,RadialDistribution,ZernikeMagnitude,ER,52
Nuclei_AreaShape_Zernike_9_7,0.049293962223148705,Nuclei,AreaShape,Zernike,9,53
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_1_1,0.048933458445463617,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,54
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,0.048877900714515136,Cytoplasm,Intensity,MaxIntensityEdge,Hoechst,55
Cells_Texture_DifferenceVariance_Actin_3_03_256,0.04872749683790045,Cells,Texture,DifferenceVariance,Actin,56
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.048645746936701484,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,57
Cytoplasm_Intensity_MaxIntensity_PM,0.048406654213927716,Cytoplasm,Intensity,MaxIntensity,PM,58
Cells_Neighbors_FirstClosestDistance_Adjacent,0.047773312101246364,Cells,Neighbors,FirstClosestDistance,Adjacent,59
Cytoplasm_Granularity_2_Actin,0.04746449240414218,Cytoplasm,Granularity,2,Actin,60
Cells_Correlation_Manders_PM_Hoechst,0.04718381385270584,Cells,Correlation,Manders,PM,61
Nuclei_Texture_Contrast_Mitochondria_3_03_256,0.04614941658617858,Nuclei,Texture,Contrast,Mitochondria,62
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,0.04599524707081141,Cytoplasm,Intensity,StdIntensityEdge,Hoechst,63
Cells_Intensity_IntegratedIntensityEdge_Mitochondria,0.04523486072895392,Cells,Intensity,IntegratedIntensityEdge,Mitochondria,64
Cytoplasm_RadialDistribution_RadialCV_Actin_1of4,0.0447682424559761,Cytoplasm,RadialDistribution,RadialCV,Actin,65
Nuclei_Texture_DifferenceVariance_PM_3_03_256,0.044676906228603284,Nuclei,Texture,DifferenceVariance,PM,66
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_4_2,0.04435194119397457,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,67
Cells_Intensity_MaxIntensityEdge_Mitochondria,0.04407340403466126,Cells,Intensity,MaxIntensityEdge,Mitochondria,68
Cells_RadialDistribution_ZernikeMagnitude_Actin_6_2,0.044067517482166134,Cells,RadialDistribution,ZernikeMagnitude,Actin,69
Cells_AreaShape_Zernike_9_5,0.042612493313930855,Cells,AreaShape,Zernike,9,70
Cells_RadialDistribution_MeanFrac_Mitochondria_4of4,0.04117734985637343,Cells,RadialDistribution,MeanFrac,Mitochondria,71
Nuclei_Correlation_Correlation_Actin_ER,0.03689575208862899,Nuclei,Correlation,Correlation,Actin,72
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_2,0.036846001817926875,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,73
Cytoplasm_RadialDistribution_RadialCV_PM_2of4,0.03658397896254017,Cytoplasm,RadialDistribution,RadialCV,PM,74
Cells_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.036562827530286564,Cells,RadialDistribution,ZernikeMagnitude,Actin,75
Cytoplasm_Intensity_MedianIntensity_ER,0.034946364698772055,Cytoplasm,Intensity,MedianIntensity,ER,76
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_1of4,0.03341690806656649,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,77
Nuclei_AreaShape_Zernike_8_2,0.033196501565180135,Nuclei,AreaShape,Zernike,8,78
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_5_1,0.0328806031823387,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,79
Nuclei_RadialDistribution_ZernikeMagnitude_ER_9_7,0.032612614811233925,Nuclei,RadialDistribution,ZernikeMagnitude,ER,80
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.032148118518201096,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,81
Nuclei_AreaShape_Zernike_7_7,0.03146967467579311,Nuclei,AreaShape,Zernike,7,82
Nuclei_Texture_InfoMeas1_PM_3_00_256,0.031074274183621735,Nuclei,Texture,InfoMeas1,PM,83
Nuclei_Texture_SumVariance_PM_3_01_256,0.030946027653455166,Nuclei,Texture,SumVariance,PM,84
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_7_7,0.030884276359893294,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,85
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_8_4,0.030403813780829604,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,86
Cells_AreaShape_Zernike_9_7,0.030300134879079673,Cells,AreaShape,Zernike,9,87
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_1_1,0.02963315700605047,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,88
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_1_1,0.028902505387814817,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,89
Nuclei_RadialDistribution_RadialCV_Mitochondria_2of4,0.028153334229365144,Nuclei,RadialDistribution,RadialCV,Mitochondria,90
Nuclei_AreaShape_Zernike_2_0,0.026820216289067604,Nuclei,AreaShape,Zernike,2,91
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_8_6,0.02650643132522846,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,92
