Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_Intensity_LowerQuartileIntensity_Mitochondria,0.3481502299400995,Cytoplasm,Intensity,LowerQuartileIntensity,Mitochondria,1
Cells_Correlation_Correlation_Actin_Mitochondria,0.2637009408279285,Cells,Correlation,Correlation,Actin,2
Nuclei_Intensity_MinIntensityEdge_Hoechst,0.25822540084596024,Nuclei,Intensity,MinIntensityEdge,Hoechst,3
Cytoplasm_Intensity_IntegratedIntensity_ER,0.25576230373441167,Cytoplasm,Intensity,IntegratedIntensity,ER,4
Cytoplasm_Intensity_LowerQuartileIntensity_Hoechst,0.24687796411254073,Cytoplasm,Intensity,LowerQuartileIntensity,Hoechst,5
Cytoplasm_Correlation_Correlation_Actin_ER,0.22998447735628524,Cytoplasm,Correlation,Correlation,Actin,6
Nuclei_Intensity_MeanIntensityEdge_Hoechst,0.22150926965863524,Nuclei,Intensity,MeanIntensityEdge,Hoechst,7
Cytoplasm_Intensity_MaxIntensity_ER,0.18937519029267066,Cytoplasm,Intensity,MaxIntensity,ER,8
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_02_256,0.17612322207007228,Cytoplasm,Texture,InfoMeas1,Mitochondria,9
Cytoplasm_Texture_InverseDifferenceMoment_Actin_3_00_256,0.1752161493567478,Cytoplasm,Texture,InverseDifferenceMoment,Actin,10
Cells_Neighbors_PercentTouching_Adjacent,0.17385038647736076,Cells,Neighbors,PercentTouching,Adjacent,11
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_9,0.17072291819212046,Cells,RadialDistribution,ZernikeMagnitude,Actin,12
Cells_Intensity_MeanIntensityEdge_Mitochondria,0.16198463239599178,Cells,Intensity,MeanIntensityEdge,Mitochondria,13
Cytoplasm_Texture_InverseDifferenceMoment_ER_3_03_256,0.14851571427883217,Cytoplasm,Texture,InverseDifferenceMoment,ER,14
Nuclei_RadialDistribution_ZernikeMagnitude_PM_2_2,0.14015664473537928,Nuclei,RadialDistribution,ZernikeMagnitude,PM,15
Cytoplasm_AreaShape_MajorAxisLength,0.12994314978374047,Cytoplasm,AreaShape,MajorAxisLength,,16
Cells_RadialDistribution_RadialCV_Actin_4of4,0.12939221207920637,Cells,RadialDistribution,RadialCV,Actin,17
Cytoplasm_Intensity_StdIntensityEdge_Hoechst,0.12842799158650817,Cytoplasm,Intensity,StdIntensityEdge,Hoechst,18
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_01_256,0.11628131672448877,Cytoplasm,Texture,InfoMeas1,Mitochondria,19
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.11503921261929427,Cytoplasm,Intensity,LowerQuartileIntensity,ER,20
Cells_Granularity_1_Mitochondria,0.11152770746936821,Cells,Granularity,1,Mitochondria,21
Cells_Intensity_IntegratedIntensityEdge_Mitochondria,0.10805844969327492,Cells,Intensity,IntegratedIntensityEdge,Mitochondria,22
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_1,0.10606343820246507,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,23
Nuclei_AreaShape_Zernike_8_2,0.10501670063509179,Nuclei,AreaShape,Zernike,8,24
Cells_Texture_Correlation_Hoechst_3_02_256,0.09984664541638567,Cells,Texture,Correlation,Hoechst,25
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.09627881192353199,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,26
Nuclei_Correlation_K_Actin_PM,0.09540826024889591,Nuclei,Correlation,K,Actin,27
